Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
phone;"Non mobile telephone";;;;
mobile;"Mobile telephone";;;;
fax;Fax;;;;
email;"Electronic mail";;;;
