Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
male;Male;;;;
female;Female;;;;
unknown;Unknown;;;;
changed;"Changed (according to MKG/RCM code)";;;;
undefined;Undefined;;;;
