Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
sunday;sunday;zondag;dimanche;;
monday;monday;maandag;lundi;;
tuesday;tuesday;dinsdag;mardi;;
wednesday;wednesday;woensdag;mercredi;;
thursday;thursday;donderdag;jeudi;;
friday;friday;vrijdag;vendredi;;
saturday;saturday;zaterdag;samedi;;
