Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
home;"The primary home, to reach a person after business hours.";;;;
vacation;"A vacation home, to reach a person while on vacation.";;;;
work;"A business address where the person could be contacted during working hours.";;;;
other;Other;;;;
careaddress;"Care address";;;;
